select|Select|CAD|CSC|Stock #|OD (in)|ID (in)|Free Length(in)|Rate (lbs/in)|Sugg. Max Defl (in)|Sugg. Max Load (lbs)|Solid Length (in)|Wire Dia. (in)|Total Coils|Material|Ends|Finish|
||ZZ3-5|0.156|0.500|0.430|0.040|1.400|0.640|0.012|Music Wire|None|
||A-59|0.156|0.590|0.330|0.040|1.800|0.640|0.012|Music Wire|Zinc|
||5117|0.156|0.810|0.210|0.040|2.800|0.640|0.012|Music Wire|None|
||ZZ1-15|0.156|1.090|0.380|0.070|1.600|0.670|0.014|Stainless|None|
||O-10|0.172|0.440|1.400|0.080|0.460|0.710|0.015|Stainless|None|
||5151|0.172|0.500|0.490|0.030|1.100|0.580|0.012|Music Wire|Zinc|
||ZZ4-23|0.172|0.500|0.290|0.030|1.900|0.580|0.012|Music Wire|None|
||O-29|0.172|0.530|0.610|0.060|0.900|0.600|0.014|Stainless|None|
||80127S|0.180|0.630|0.510|0.060|1.000|0.580|0.014|Stainless|None|
||80128S|0.180|0.750|0.340|0.060|1.500|0.580|0.014|Stainless|None|
||80129S|0.180|1.000|0.260|0.060|2.000|0.580|0.014|Stainless|None|
||80130S|0.180|1.250|0.170|0.060|3.100|0.580|0.014|Stainless|None|
||80131S|0.180|1.500|0.090|0.060|6.100|0.580|0.014|Stainless|None|
||ZZ3-11|0.188|0.500|0.830|0.050|0.600|0.550|0.014|Stainless|None|
||S-515|0.188|0.500|0.740|0.060|0.780|0.640|0.015|Stainless|None|
||5398|0.188|0.630|0.200|0.030|2.600|0.530|0.012|Music Wire|None|
||N-113|0.188|0.660|0.250|0.040|2.600|0.670|0.013|Music Wire|Zinc|
||469|0.188|0.750|0.200|0.040|3.200|0.670|0.013|Music Wire|Zinc|
||S-516|0.188|0.750|0.360|0.060|1.600|0.640|0.015|Stainless|None|
||S-519|0.188|1.130|0.210|0.060|2.700|0.640|0.015|Stainless|None|
||5262|0.203|0.530|0.310|0.020|1.500|0.490|0.012|Music Wire|Zinc|
||M-85|0.203|1.250|0.100|0.030|6.000|0.630|0.013|Music Wire|None|
||5583|0.219|0.940|0.180|0.040|3.800|0.730|0.014|Music Wire|Zinc|
||5305|0.234|1.030|0.120|0.030|5.300|0.680|0.014|Music Wire|None|
||A11-4|0.250|0.660|0.390|0.040|1.700|0.710|0.015|Music Wire|None|
