||90|0.625|5.500|6.400|5.000|3.400|27.000|0.080|Hard Drawn|Zinc|
||5015|0.625|6.250|5.400|5.000|3.900|27.000|0.080|Hard Drawn|Zinc|
||99|0.625|6.500|5.300|5.000|4.100|27.000|0.080|Hard Drawn|Zinc|
||638|0.625|8.500|3.900|5.000|5.500|27.000|0.080|Hard Drawn|Zinc|
||4005|0.625|24.500|1.200|5.000|17.000|27.000|0.080|Hard Drawn|Zinc|
||5606|0.640|3.810|10.000|6.000|2.200|28.000|0.082|Hard Drawn|Zinc|
CALL||12343|0.640|5.810|6.000|6.000|3.800|28.000|0.082|Spring Steel|Zinc|
||80876S|0.750|2.000|39.000|3.000|0.650|28.000|0.093|Stainless|None|
||80877S|0.750|2.250|30.000|3.000|0.840|28.000|0.093|Stainless|None|
||80878S|0.750|2.500|23.000|3.000|1.100|28.000|0.093|Stainless|None|
||80879S|0.750|2.750|20.000|3.000|1.300|28.000|0.093|Stainless|None|
||80880S|0.750|3.000|17.000|3.000|1.400|28.000|0.093|Stainless|None|
||80881S|0.750|3.500|13.000|3.000|1.900|28.000|0.093|Stainless|None|
||80882S|0.750|4.000|11.000|3.000|2.300|28.000|0.093|Stainless|None|
||80883S|0.750|4.500|9.300|3.000|2.700|28.000|0.093|Stainless|None|
||80884S|0.750|5.000|8.200|3.000|3.100|28.000|0.093|Stainless|None|
||5570|0.843|4.250|6.500|5.000|3.500|27.000|0.091|Spring Steel|Zinc|
||5547|0.875|5.810|4.100|5.000|5.500|27.000|0.092|Spring Steel|Zinc|
||5555|0.875|5.880|4.100|5.000|5.500|27.000|0.092|Spring Steel|Zinc|
||81062S|1.125|3.000|17.000|3.000|1.500|27.000|0.105|Stainless|None|
||81063S|1.125|3.500|11.000|3.000|2.300|27.000|0.105|Stainless|None|
CALL||81064S|1.125|4.000|7.800|3.000|3.100|27.000|0.105|Stainless|None|
||81065S|1.125|4.500|6.200|3.000|3.900|27.000|0.105|Stainless|None|
CALL||81066S|1.125|5.000|5.100|3.000|4.800|27.000|0.105|Stainless|None|
CALL||81067S|1.125|5.500|4.300|3.000|5.600|27.000|0.105|Stainless|None|
||81068S|1.125|6.000|3.800|3.000|6.400|27.000|0.105|Stainless|None|
||81069S|1.125|6.500|3.300|3.000|7.400|27.000|0.105|Stainless|None|
||81070S|1.125|7.000|3.000|3.000|8.200|27.000|0.105|Stainless|None|
||81089|1.250|3.250|7.300|2.000|3.500|28.000|0.095|Music Wire|None|
||81090|1.250|3.500|6.300|2.000|4.100|28.000|0.095|Music Wire|None|
CALL||81091|1.250|4.000|4.400|2.000|5.800|28.000|0.095|Music Wire|None|
||81092|1.250|4.500|3.400|2.000|7.500|28.000|0.095|Music Wire|None|
||81093|1.250|5.000|2.800|2.000|9.300|28.000|0.095|Music Wire|None|
||81094|1.250|5.500|2.300|2.000|11.000|28.000|0.095|Music Wire|None|
||81095|1.250|6.000|2.000|2.000|13.000|28.000|0.095|Music Wire|None|
||81096|1.250|6.500|1.800|2.000|14.000|28.000|0.095|Music Wire|None|
||81106S|1.250|6.500|2.400|4.000|10.200|28.000|0.105|Stainless|None|
||81097|1.250|7.000|1.600|2.000|16.000|28.000|0.095|Music Wire|None|
CALL||81098|1.250|7.500|1.400|2.000|18.000|28.000|0.095|Music Wire|None|
||5345|0.437|3.060|24.000|8.000|0.880|29.000|0.072|Spring Steel|Zinc|
||121|0.437|8.500|7.300|8.000|2.900|29.000|0.072|Hard Drawn|Zinc|
||ZZ1-58|0.500|1.500|63.000|7.000|0.350|29.000|0.076|Spring Steel|Zinc|
||5324|0.593|3.560|12.000|6.000|1.900|29.000|0.080|Spring Steel|Zinc|
||5600|0.625|5.810|6.700|6.000|3.400|29.000|0.082|Spring Steel|Zinc|
||6055|0.625|14.300|2.500|6.000|9.200|29.000|0.082|Spring Steel|Zinc|
||5842|0.718|1.380|44.000|6.000|0.550|30.000|0.087|Spring Steel|Zinc|
||80885S|0.750|2.000|51.000|3.000|0.530|30.000|0.095|Stainless|None|
CALL||80886S|0.750|2.250|37.000|3.000|0.710|30.000|0.095|Stainless|None|
||S-602|0.750|2.500|17.000|6.000|1.400|29.000|0.091|Stainless|None|
||80887S|0.750|2.500|28.000|3.000|0.940|30.000|0.095|Stainless|None|
||80888S|0.750|2.750|24.000|3.000|1.100|30.000|0.095|Stainless|None|
||S-603|0.750|3.000|13.000|6.000|1.800|29.000|0.091|Stainless|None|
||80889S|0.750|3.000|20.000|3.000|1.300|30.000|0.095|Stainless|None|
||S-608|0.750|3.250|12.000|6.000|2.000|30.000|0.092|Stainless|None|
||80890S|0.750|3.500|15.000|3.000|1.700|30.000|0.095|Stainless|None|
||80891S|0.750|4.000|13.000|3.000|2.100|30.000|0.095|Stainless|None|
||S-604|0.750|4.250|8.100|6.000|2.900|29.000|0.091|Stainless|None|
CALL||80892S|0.750|4.500|11.000|3.000|2.500|30.000|0.095|Stainless|None|
||80893S|0.750|5.000|9.200|3.000|2.900|30.000|0.095|Stainless|None|
||80894S|0.750|5.500|8.100|3.000|3.300|30.000|0.095|Stainless|None|
||S-605|0.750|6.000|5.400|6.000|4.300|29.000|0.091|Stainless|None|
||80895S|0.750|6.000|7.200|3.000|3.700|30.000|0.095|Stainless|None|
||5099|0.812|4.000|8.800|5.000|2.700|29.000|0.091|Hard Drawn|Zinc|
||637|0.812|4.500|7.100|5.000|3.300|29.000|0.091|Hard Drawn|Zinc|
||5651|0.812|6.000|5.300|5.000|4.600|30.000|0.092|Spring Steel|Zinc|
||136|0.812|8.500|3.200|5.000|7.300|29.000|0.091|Hard Drawn|Zinc|
||5047|0.812|12.800|2.100|5.000|11.000|29.000|0.091|Hard Drawn|Zinc|
||80944|0.850|2.000|31.000|2.000|0.900|30.000|0.085|Music Wire|None|
||80945|0.850|2.250|19.000|2.000|1.400|30.000|0.085|Music Wire|None|
||80946|0.850|2.500|14.000|2.000|2.000|30.000|0.085|Music Wire|None|
||80947|0.850|2.750|11.000|2.000|2.400|30.000|0.085|Music Wire|None|
||80948|0.850|3.000|9.500|2.000|2.900|30.000|0.085|Music Wire|None|
||80949|0.850|3.500|7.300|2.000|3.700|30.000|0.085|Music Wire|None|
||80950|0.850|4.000|5.800|2.000|4.700|30.000|0.085|Music Wire|None|
||80951|0.850|4.500|4.900|2.000|5.600|30.000|0.085|Music Wire|None|
||80952|0.850|4.750|4.500|2.000|6.100|30.000|0.085|Music Wire|None|
||80953|0.850|5.000|4.200|2.000|6.600|30.000|0.085|Music Wire|None|
||80954|0.850|5.500|3.600|2.000|7.600|30.000|0.085|Music Wire|None|
||80955|0.850|6.000|3.200|2.000|8.500|30.000|0.085|Music Wire|None|
||5811|1.000|5.000|5.600|5.000|4.500|30.000|0.100|Spring Steel|Zinc|
||12346|1.156|9.000|2.600|0.000|11.000|29.000|0.109|Spring Steel|Zinc|
||484|0.281|0.810|267.000|11.000|0.080|32.000|0.061|Spring Steel|Zinc|
||80749|0.500|1.250|108.000|3.000|0.280|33.000|0.075|Music Wire|None|
||80750|0.500|1.380|85.000|3.000|0.360|33.000|0.075|Music Wire|None|
||80751|0.500|1.500|70.000|3.000|0.440|33.000|0.075|Music Wire|None|
||80752|0.500|1.750|49.000|3.000|0.610|33.000|0.075|Music Wire|None|
||80753|0.500|2.000|38.000|3.000|0.790|33.000|0.075|Music Wire|None|
||80754|0.500|2.250|32.000|3.000|0.950|33.000|0.075|Music Wire|None|
||80755|0.500|2.500|27.000|3.000|1.100|33.000|0.075|Music Wire|None|
||80756|0.500|2.750|23.000|3.000|1.300|33.000|0.075|Music Wire|None|
||80757|0.500|3.000|21.000|3.000|1.500|33.000|0.075|Music Wire|None|
||80758|0.500|3.500|17.000|3.000|1.800|33.000|0.075|Music Wire|None|
||80759|0.500|4.000|14.000|3.000|2.200|33.000|0.075|Music Wire|None|
||80760|0.500|4.500|12.000|3.000|2.500|33.000|0.075|Music Wire|None|
||80761|0.500|5.000|11.000|3.000|2.800|33.000|0.075|Music Wire|None|
||5231|0.515|1.000|114.000|9.000|0.220|33.000|0.080|Spring Steel|Zinc|
||5312|0.531|1.630|58.000|8.000|0.420|32.000|0.080|Spring Steel|Zinc|
