110054,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","7.2 V","9740 rpm","2.17 mNm","USD 54.38","Details"
110055,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","9 V","9120 rpm","2.16 mNm","USD 54.38","Details"
110056,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","12 V","10400 rpm","2.16 mNm","USD 54.38","Details"
110057,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","15 V","11600 rpm","2.13 mNm","USD 54.38","Details"
110058,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","18 V","11600 rpm","2.12 mNm","USD 54.38","Details"
110059,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","18 V","10300 rpm","2.09 mNm","USD 54.38","Details"
110060,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","30 V","11300 rpm","2.04 mNm","USD 54.38","Details"
110061,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","1.5 V","9990 rpm","0.58 mNm","USD 58.38","Details"
110062,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","3 V","11400 rpm","1.29 mNm","USD 58.38","Details"
110063,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","6 V","9340 rpm","2.41 mNm","USD 58.38","Details"
110064,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","9 V","11500 rpm","2.35 mNm","USD 58.38","Details"
110065,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","12 V","11500 rpm","2.34 mNm","USD 58.38","Details"
110066,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","14 V","11500 rpm","2.35 mNm","USD 58.38","Details"
110067,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","15 V","10900 rpm","2.35 mNm","USD 58.38","Details"
110068,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","18 V","10900 rpm","2.33 mNm","USD 58.38","Details"
110069,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","21 V","11300 rpm","2.28 mNm","USD 58.38","Details"
110070,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","30 V","10500 rpm","2.24 mNm","USD 58.38","Details"
110071,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","1.5 V","9990 rpm","0.58 mNm","USD 59.00","Details"
110072,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","3 V","11400 rpm","1.29 mNm","USD 59.00","Details"
110073,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","6 V","9340 rpm","2.41 mNm","USD 59.00","Details"
110074,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","9 V","11500 rpm","2.35 mNm","USD 59.00","Details"
110075,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","12 V","11500 rpm","2.34 mNm","USD 59.00","Details"
110076,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","14 V","11500 rpm","2.35 mNm","USD 59.00","Details"
110077,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","15 V","10900 rpm","2.35 mNm","USD 59.00","Details"
110078,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","18 V","10900 rpm","2.33 mNm","USD 59.00","Details"
110079,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","21 V","11300 rpm","2.28 mNm","USD 59.00","Details"
110080,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals","16 mm","2 W","30 V","10500 rpm","2.24 mNm","USD 59.00","Details"
110081,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 2.5 Watt, CE approved","19 mm","2.5 W","1.5 V","8040 rpm","1.35 mNm","USD 58.13","Details"
110082,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 2.5 Watt, CE approved","19 mm","2.5 W","3.6 V","10800 rpm","2.48 mNm","USD 58.13","Details"
110083,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 2.5 Watt, CE approved","19 mm","2.5 W","4.5 V","9420 rpm","3.61 mNm","USD 58.13","Details"
